X,L,Z,D,Rough,TEC
0,0,-1765,0.254,5.00E-05,2
729.69498,729.7041,-1768.642,0.254,5.00E-05,2
3232.1461,3232.218,-1786.422,0.254,5.00E-05,2
4733.6468,4733.727,-1781.485,0.254,5.00E-05,2
6034.9195,6035.035,-1791.009,0.254,5.00E-05,2
7536.4256,7536.543,-1788.308,0.254,5.00E-05,2
8837.6568,8837.85,-1802.367,0.254,5.00E-05,2
11640.441,11640.67,-1815.631,0.254,5.00E-05,2
12641.443,12641.67,-1812.637,0.254,5.00E-05,2
13842.538,13842.88,-1829.063,0.254,5.00E-05,2
15344.033,15344.39,-1835.538,0.254,5.00E-05,2
18847.541,18847.91,-1844.566,0.254,5.00E-05,2
19147.257,19148.21,-1863.277,0.254,5.00E-05,2
21349.463,21350.42,-1869.834,0.254,5.00E-05,2
23451.407,23452.53,-1896.355,0.254,5.00E-05,2
25553.467,25554.65,-1911.013,0.254,5.00E-05,2
28456.365,28457.56,-1920.907,0.254,5.00E-05,2
29157.061,29158.27,-1917.112,0.254,5.00E-05,2
29757.089,29758.87,-1943.397,0.254,5.00E-05,2
32159.502,32161.28,-1943.155,0.254,5.00E-05,2
33861.182,33862.99,-1953.312,0.254,5.00E-05,2
34361.591,34363.5,-1962.898,0.254,5.00E-05,2
34461.078,34463.6,-1951.816,0.254,5.00E-05,2
34561.161,34563.7,-1949.935,0.254,5.00E-05,2
34761.315,34763.9,-1945.564,0.254,5.00E-05,2
36889.776,36892.42,-1930.247,0.254,5.00E-05,2
37791.504,37794.19,-1921.026,0.254,5.00E-05,2
39039.431,39042.12,-1921.56,0.254,5.00E-05,2
,,,,,
